Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Score
DET,Akil Baddoo,-1.3399999999999999,1.5686274509804046,-4.660194174757286,3.876651982378858,-5.9130434782608745,-3.0,1.519,-14.4
CHC,Mike Tauchman,-9.200000000000001,1.088453945710938e-14,4.660194174757276,-13.215859030836988,9.913043478260867,-7.0,0.969,-14.4
CHW,Lenyn Sosa,-23.21,-1.568627450980383,21.74757281553397,-8.105726872246693,1.0434782608695565,-11.0,1.008,-14.4
SEA,Dylan Moore,-23.21,1.088453945710938e-14,-2.3300970873786535,-3.876651982378849,16.000000000000004,-29.0,0.7090000000000001,-14.8
CHC,M. Mastrobuoni,-16.729999999999997,-0.784313725490186,5.825242718446598,-13.920704845814962,-2.9565217391304373,-29.0,0.264,-15.2
CIN,Joey Votto,-5.550000000000001,0.7843137254902077,-5.048543689320393,-4.757709251101316,-14.260869565217394,12.0,0.915,-15.4
MIL,Rowdy Tellez,-23.21,4.705882352941192,-5.048543689320393,3.3480176211453774,7.304347826086953,-7.0,1.014,-15.8
NYM,Tomas Nido,-23.21,1.5686274509804046,29.90291262135922,-25.550660792951536,3.8260869565217335,-18.0,2.0140000000000002,-15.9
LAA,A. Velazquez,-23.21,-3.1372549019607767,7.378640776699026,-28.54625550660793,-4.6956521739130475,11.0,1.074,-16.0
TB,O. Basabe,-23.360000000000003,-1.568627450980383,13.980582524271847,-10.748898678414097,-10.608695652173914,2.0,0.537,-16.3
MIL,Luke Voit,-23.21,3.137254901960798,13.592233009708742,-17.44493392070483,16.173913043478265,-14.0,1.303,-16.5
TB,Josh Lowe,-6.9,4.705882352941181,-5.825242718446607,-0.7048458149779742,2.086956521739123,-10.0,1.026,-16.6
MIA,B. De La Cruz,-23.21,0.7843137254902077,6.601941747572813,-15.85903083700441,12.695652173913025,13.0,2.0140000000000002,-17.0
CHW,Korey Lee,-23.21,-14.117647058823534,17.4757281553398,-38.590308370044056,-2.434782608695654,-4.0,0.264,-17.2
CIN,Nick Martini,-12.8,1.088453945710938e-14,-9.320388349514563,2.8193832599118966,2.434782608695645,-5.0,0.797,-17.4
ATL,T. d'Arnaud,-26.77,4.705882352941181,10.87378640776699,-12.511013215859032,2.086956521739123,-46.0,0.264,-17.9
TOR,Tyler Heineman,-23.21,1.5686274509804046,11.650485436893206,-16.035242290748904,12.0,-48.0,0.264,-17.9
TB,Brandon Lowe,-1.010000000000002,0.7843137254902077,0.3883495145630964,-7.753303964757707,-0.8695652173913149,-10.0,,-18.5
TOR,Brandon Belt,-23.21,0.7843137254902077,-10.873786407767001,-38.766519823788556,13.217391304347828,-16.0,0.264,-18.5
PIT,Miguel Andujar,-23.21,7.058823529411772,3.4951456310679543,-0.5286343612334806,-0.6956521739130538,-17.0,1.012,-19.1
SD,Garrett Cooper,-8.760000000000002,7.058823529411772,-6.601941747572822,-10.572687224669604,7.826086956521737,-16.0,0.712,-19.3
TEX,T. Jankowski,-16.430000000000003,-2.3529411764705794,8.932038834951454,-1.2334801762114451,0.6956521739130345,-22.0,0.597,-19.3
NYY,Ben Rortvedt,-5.57,4.705882352941181,3.4951456310679543,-16.387665198237872,-5.2173913043478315,-8.0,0.716,-19.3
NYY,Austin Wells,-4.38,4.705882352941181,10.097087378640778,-32.951541850220266,1.0434782608695565,-10.0,0.649,-20.4
NYM,Brett Baty,-23.21,5.490196078431378,13.980582524271847,-16.035242290748883,4.521739130434777,-40.0,0.754,-20.5
BOS,Jorge Alfaro,-13.68,0.7843137254902077,27.572815533980577,-19.73568281938327,-13.73913043478261,-2.0,0.514,-20.8
CIN,Jose Garcia,-13.61,0.7843137254902077,1.9417475728155251,-11.101321585903085,-2.4347826086956643,3.0,0.9400000000000001,-21.4
NYY,E. Pereira,-0.7200000000000006,0.7843137254902077,10.485436893203882,-39.47136563876651,19.304347826086943,-28.0,0.571,-21.5
WAS,I. Vargas,-9.99,1.088453945710938e-14,23.689320388349504,0.17621145374450334,-7.478260869565215,-28.0,1.17,-21.6
CIN,Wil Myers,-15.05,-1.568627450980383,0.7766990291262036,-16.74008810572688,2.6086956521739055,8.0,1.58,-22.0
DET,Zack Short,-10.64,0.7843137254902077,-1.1650485436893323,-5.638766519823784,-4.347826086956526,4.0,1.306,-22.2
TB,C. Bethancourt,-26.94,3.1372549019607874,9.320388349514563,-9.867841409691628,-5.2173913043478315,2.0,0.81,-22.3
CIN,Jonathan India,-7.39,1.088453945710938e-14,-7.378640776699026,-5.991189427312771,4.869565217391299,-8.0,0.9400000000000001,-22.5
STL,Luken Baker,-23.21,-0.784313725490186,-8.15533980582524,-14.44933920704846,-1.217391304347827,11.0,0.716,-22.6
NYM,Rafael Ortega,-23.21,1.088453945710938e-14,2.7184466019417393,-5.991189427312771,1.3913043478260883,-18.0,1.181,-22.6
DET,Nick Maton,-21.669999999999998,3.921568627450995,-5.436893203883501,4.052863436123352,-3.652173913043482,0.0,1.0510000000000002,-22.8
ARI,G. Perdomo,-23.21,6.274509803921575,3.883495145631061,10.925110132158592,-2.9565217391304373,-32.0,0.4,-23.0
STL,Jose Fermin,-23.21,1.088453945710938e-14,-0.38834951456311795,-9.339207048458148,12.521739130434785,-9.0,0.931,-23.1
STL,Oscar Mercado,-23.21,-3.9215686274509736,-3.495145631067965,1.938325991189429,4.521739130434777,-5.0,1.014,-23.2
SD,Juan Soto,14.46,2.3529411764705905,-9.320388349514571,-5.638766519823784,-6.260869565217387,-12.0,1.44,-23.6
CHW,T. Thompson,-23.21,-11.764705882352942,-1.9417475728155467,-33.656387665198245,-7.999999999999997,-1.0,0.264,-23.7
WAS,C.J. Abrams,-19.14,-0.784313725490186,12.815533980582527,-11.27753303964758,-7.652173913043476,2.0,1.17,-24.0
LAA,Trey Cabbage,-23.21,-10.196078431372548,18.640776699029125,-50.04405286343612,-10.434782608695652,15.0,1.026,-24.5
NYM,DJ Stewart,-23.21,-3.9215686274509736,-7.378640776699026,-19.73568281938327,-1.5652173913043492,-9.0,0.99,-24.6
MIA,Jake Burger,-23.21,-0.784313725490186,0.7766990291262036,-21.85022026431719,0.8695652173912954,0.0,1.0899999999999999,-25.2
SEA,Jose Caballero,-23.21,4.705882352941181,15.145631067961157,4.933920704845811,5.043478260869559,-50.0,0.514,-25.2
BAL,Aaron Hicks,-23.21,2.352941176470601,-1.5533980582524287,7.753303964757707,-5.739130434782604,-24.0,1.1520000000000001,-25.2
CIN,Jason Vosler,-12.999999999999996,-4.70588235294117,-0.7766990291262144,-14.977973568281943,-1.0434782608695758,9.0,0.664,-25.5
ARI,Jace Peterson,-23.21,1.5686274509804046,10.485436893203882,-0.17621145374449354,3.999999999999994,-21.0,0.607,-25.9
LAD,James Outman,-8.280000000000001,-1.568627450980383,5.825242718446598,-26.07929515418502,6.956521739130432,-8.0,0.845,-26.3
WAS,Luis Garcia,-21.13,-0.784313725490186,22.91262135922329,-7.224669603524226,-0.1739130434782707,-20.0,1.17,-26.4
ARI,Jake McCarthy,-23.21,4.705882352941181,15.533980582524277,12.33480176211454,-1.9130434782608714,3.0,1.264,-26.5
MIL,Raimel Tapia,-23.21,6.274509803921575,11.262135922330097,1.233480176211455,3.6521739130434714,-30.0,1.246,-26.5
CHC,Dansby Swanson,0.33999999999999986,-1.568627450980383,6.990291262135919,-13.568281938325974,6.260869565217387,-21.0,1.174,-26.5
TOR,Nathan Lukes,-23.21,1.5686274509804046,8.15533980582524,-37.180616740088105,4.173913043478255,-46.0,0.264,-27.5
BOS,Luis Urias,-2.4699999999999998,2.352941176470601,10.097087378640778,-5.991189427312771,-16.000000000000004,-18.0,0.928,-27.9
OAK,Tyler Wade,-23.21,1.5686274509804046,-14.368932038834956,-1.7621145374449256,-1.217391304347827,-2.0,0.916,-28.0
STL,Nolan Gorman,-23.21,-6.274509803921564,-20.97087378640778,-13.568281938325974,4.347826086956515,16.0,1.014,-28.5
PIT,Jason Delay,-23.21,6.274509803921575,-0.3883495145631072,-13.039647577092513,5.739130434782604,-72.0,0.264,-28.7
BAL,Colton Cowser,-23.21,3.921568627450995,17.4757281553398,-11.982378854625551,2.6086956521739055,-43.0,0.977,-28.9
NYM,Luis Guillorme,-23.21,3.921568627450995,10.485436893203882,-5.638766519823784,4.869565217391299,-34.0,2.7640000000000002,-29.0
