,Unnamed: 0.1,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
393,393,393,CLE,Kole Calhoun,-39.9,6.274509803921575,-2.330097087378643,-21.67400881057268,1.5652173913043397,-90.0,0.855,0.95,-118.6,-117.6
394,394,394,CLE,Mike Zunino,-76.10000000000001,-4.70588235294117,-7.378640776699026,-41.23348017621144,-6.434782608695648,-112.0,0.855,0.95,-235.5,-234.5
395,395,395,CLE,Myles Straw,-94.55,0.7843137254902077,-3.106796116504857,-9.339207048458148,1.0434782608695563,-120.0,0.668,0.95,-142.9,-141.9
396,396,396,CLE,Oscar Gonzalez,-77.5,3.921568627450984,8.15533980582524,-20.088105726872257,0.6956521739130345,-81.0,0.668,0.95,-157.5,-156.5
397,397,397,CLE,Ramon Laureano,-57.85,3.1372549019607874,-3.106796116504857,-22.37885462555065,-2.9565217391304373,-91.0,1.153,0.95,-190.8,-189.8
398,398,398,CLE,Steven Kwan,-39.55,10.196078431372548,-3.883495145631072,-1.4096916299559386,5.217391304347822,-45.0,1.05,0.95,-74.2,-73.2
399,399,399,CLE,Tyler Freeman,-66.05000000000001,7.058823529411772,1.5533980582524178,-10.572687224669604,5.739130434782604,-58.0,0.805,0.95,-92.0,-91.0
400,400,400,CLE,Will Brennan,-54.5,4.705882352941181,8.932038834951454,-2.1145374449339127,5.565217391304344,-52.0,0.752,0.95,-63.9,-62.9
401,401,401,DET,Carson Kelly,3.910000000000001,1.5686274509804046,22.13592233009708,-0.7048458149779644,-1.565217391304359,11.0,0.906,0.95,31.3,32.3
402,402,402,DET,Andy Ibanez,10.64,3.921568627450995,18.25242718446601,14.44933920704846,0.3478260869565124,3.0,1.202,0.95,57.8,58.8
403,403,403,DET,Andre Lipcius,9.48,7.058823529411772,14.757281553398052,-1.2334801762114451,1.2173913043478175,24.0,0.95,0.95,49.9,50.9
404,404,404,DET,Akil Baddoo,8.68,3.921568627450995,8.932038834951454,5.991189427312781,-5.739130434782614,30.0,0.797,0.95,39.2,40.2
405,405,405,DET,Miguel Cabrera,18.130000000000003,7.058823529411772,19.805825242718434,8.986784140969162,5.565217391304344,51.0,0.864,0.95,90.7,91.7
