,Unnamed: 0,Team,Player,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
149,149,HOU,Jose Abreu,55.0,-1.568627450980383,-6.601941747572822,-3.876651982378849,-15.652173913043482,26.0,0.961,0.86,44.1,45.1
150,150,HOU,Jon Singleton,25.7,-7.843137254901959,-0.7766990291262251,-3.348017621145368,-20.521739130434792,1.0,0.514,0.86,-2.6,-1.6
151,151,HOU,Jeremy Pena,44.41,-3.9215686274509736,5.825242718446598,8.634361233480174,-16.173913043478265,38.0,0.863,0.86,57.0,58.0
152,152,HOU,Jake Meyers,23.99,-0.784313725490186,3.883495145631061,0.5286343612334806,-21.565217391304348,16.0,1.264,0.86,24.0,25.0
153,153,HOU,Yainer Diaz,77.56,3.1372549019607874,5.825242718446598,2.9955947136563905,-16.869565217391308,97.0,1.314,0.86,191.7,192.7
154,154,HOU,Grae Kessinger,22.2,-9.411764705882351,7.766990291262132,-34.7136563876652,-22.782608695652176,13.0,0.264,0.86,-5.4,-4.4
155,155,HOU,David Hensley,7.669999999999999,-14.117647058823534,-2.330097087378653,-25.374449339207043,-18.782608695652183,-10.0,0.965,0.86,-54.1,-53.1
156,156,HOU,Corey Julks,37.0,-2.3529411764705794,-5.436893203883501,5.638766519823784,-17.565217391304355,65.0,0.965,0.86,70.8,71.8
157,157,HOU,Chas McCormick,41.26,-5.490196078431367,-6.213592233009715,-2.9955947136563807,-13.913043478260873,34.0,0.965,0.86,38.7,39.7
158,158,HOU,Bligh Madris,13.69,-5.490196078431367,4.660194174757276,-10.748898678414095,-24.347826086956527,13.0,0.95,0.86,-7.9,-6.9
159,159,HOU,Yordan Alvarez,87.35,1.088453945710938e-14,-3.495145631067965,4.581497797356823,-12.695652173913045,94.0,1.244,0.86,181.6,182.6
