,Team,Player,Opp,PP,XBH,BB,K,Line,H,OPS Factor,Park Factor,Score,Bases
253,DET,Greene,CLE,-0.4399999999999986,-7.84313725490186,-198.05825242718456,66.96035242290745,107.82608695652172,51.0,1.1840000000000002,0.98,0.2,
254,STL,O'Neill,CIN,18.86,1.088453945710938e-13,151.4563106796117,-132.1585903083701,13.913043478260786,10.0,0.389,0.96,0.2,
255,TEX,Jung,SEA,-16.290000000000003,7.843137254901968,89.32038834951454,-58.14977973568277,8.69565217391305,-10.0,0.8190000000000001,0.8,0.1,
256,LAA,Cron,OAK,-19.6,15.686274509804043,108.73786407766993,-3.524229074889773,-45.21739130434787,-24.0,0.264,1.0,0.1,
257,SF,Haniger,LAD,-0.0400000000000004,62.74509803921575,-62.135922330097145,-7.048458149779644,53.913043478260825,-31.0,0.6799999999999999,1.0,0.1,
258,COL,Daza,MIN,-16.619999999999997,23.52941176470601,295.1456310679611,-125.11013215859032,-86.95652173913041,-79.0,1.264,1.28,0.1,
259,BOS,Refsnyder,BAL,-0.4600000000000003,7.843137254902077,-34.95145631067976,-24.669603524229,62.60869565217387,2.0,0.928,1.01,0.1,
260,SD,Bogaerts,CHW,-38.08,70.58823529411771,100.97087378640778,-10.572687224669515,-59.130434782608745,-56.0,1.31,0.99,0.1,
261,BOS,Chang,BAL,1.02,7.843137254902077,170.87378640776694,-75.77092511013213,-88.69565217391303,-2.0,1.195,1.01,0.1,
262,ARI,Longoria,HOU,10.919999999999998,31.372549019607877,31.067961165048462,-65.1982378854625,-1.739130434782707,5.0,0.716,1.03,0.1,
263,LAA,Drury,OAK,-12.960000000000004,-7.84313725490186,81.55339805825241,-65.1982378854625,31.30434782608689,-18.0,1.095,1.0,0.1,
264,CHC,Barnhart,MIL,-21.2,15.686274509804043,151.4563106796117,-56.38766519823784,-48.69565217391308,-34.0,1.368,0.91,0.1,
265,MIN,Wallner,COL,48.77000000000001,15.686274509804043,3.883495145630964,-165.63876651982383,93.91304347826086,7.0,1.269,1.28,0.1,
266,NYY,Wells,KC,6.839999999999999,70.58823529411761,81.55339805825241,-61.67400881057264,-123.47826086956525,36.0,1.095,1.13,0.1,4.0
267,CLE,Haase,DET,13.35,47.05882352941181,66.01941747572812,-109.25110132158592,22.60869565217384,-28.0,1.359,0.98,0.1,
268,SF,Davis,LAD,-18.41,1.088453945710938e-13,108.73786407766993,-100.4405286343612,74.78260869565216,-50.0,0.843,1.0,0.1,
269,MIA,Stallings,PIT,-1.4900000000000002,101.96078431372548,-58.25242718446607,56.38766519823793,-86.95652173913041,-3.0,0.6779999999999999,1.02,0.1,
270,LAA,Rengifo,OAK,5.400000000000001,-15.68627450980383,34.951456310679546,84.5814977973568,-102.6086956521739,7.0,1.008,1.0,0.1,
271,COL,Bryant,MIN,9.03,47.05882352941192,166.99029126213586,-188.54625550660785,13.913043478260786,-50.0,0.597,1.28,-0.0,
272,OAK,Kemp,LAA,-22.5,1.088453945710938e-13,85.43689320388347,7.048458149779742,-33.04347826086959,-36.0,0.716,1.0,0.0,
273,SF,Ramos,LAD,-28.700000000000003,7.843137254902077,143.68932038834956,-176.21145374449344,85.2173913043478,-24.0,0.264,1.0,0.0,
274,MIL,Contreras,CHC,3.8400000000000016,-15.68627450980383,42.718446601941686,8.810572687224678,-99.13043478260867,61.0,1.273,0.91,0.0,
275,BOS,Devers,BAL,39.22,7.843137254902077,-23.300970873786536,61.67400881057274,-95.65217391304346,8.0,1.189,1.01,-0.0,
276,SD,Odor,CHW,-59.66,31.372549019607877,58.25242718446597,-96.91629955947135,121.73913043478264,-54.0,0.932,0.99,0.0,
277,STL,Goldschmidt,CIN,26.18,-15.68627450980383,15.533980582524178,-132.1585903083701,53.913043478260825,49.0,0.949,0.96,-0.0,
278,CHC,Mervis,MIL,1.9800000000000004,54.90196078431378,139.80582524271847,-199.1189427312776,-41.739130434782645,35.0,1.084,0.91,-0.1,
279,CIN,Renfroe,STL,4.169999999999999,23.52941176470601,-135.9223300970874,125.11013215859032,-27.826086956521763,1.0,0.264,0.96,-0.1,
280,ARI,Peterson,HOU,-10.68,23.52941176470601,-69.90291262135929,17.621145374449355,55.65217391304344,-28.0,0.6839999999999999,1.03,-0.1,
281,SEA,Hernandez,TEX,-14.860000000000005,7.843137254902077,77.66990291262132,-139.2070484581498,50.43478260869559,-5.0,0.764,0.8,-0.1,
282,DET,Kelly,CLE,4.65,-39.215686274509736,38.834951456310606,-10.572687224669515,-6.956521739130538,4.0,0.916,0.98,-0.1,
283,HOU,Abreu,ARI,-42.75000000000001,15.686274509803935,100.97087378640778,-95.15418502202644,71.30434782608691,-58.0,1.0630000000000002,1.03,-0.1,
284,MIA,Chisholm,PIT,16.880000000000003,86.27450980392155,-54.368932038835005,-47.57709251101316,-71.30434782608691,62.0,1.107,1.02,-0.1,
285,MIL,Wiemer,CHC,-1.7799999999999994,-47.0588235294117,120.38834951456312,-35.24229074889861,-90.43478260869564,21.0,0.264,0.91,-0.1,
286,NYY,McKinney,KC,-0.0200000000000014,86.27450980392155,-100.97087378640778,-28.193832599118878,3.478260869565124,19.0,0.754,1.13,-0.2,
